City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,manga,11.6636,-1.0731,35.12,33,100,1.82,BF,1711485279
348,jiangyou,31.7667,104.7167,12.84,81,100,0.96,CN,1711485279
349,mugumu,-1.85,34.7,17.36,95,100,1.15,TZ,1711485279
350,rabaul,-4.1967,152.1721,27.41,78,100,1.72,PG,1711485279
351,puerto madryn,-42.7692,-65.0385,22.8,53,21,2.92,AR,1711485112
352,francisco beltrao,-26.0811,-53.055,24.59,73,0,1.6,BR,1711485130
353,shiggaon,15.0,75.2333,26.7,59,91,2.55,IN,1711485279
354,bodo,67.28,14.405,-2.98,63,0,3.6,NO,1711485279
355,mount pearl,47.5166,-52.7813,2.47,59,100,2.06,CA,1711485280
356,hithadhoo,-0.6,73.0833,28.11,75,100,1.27,MV,1711485280
357,daqing,46.5833,125.0,1.52,58,21,4.67,CN,1711485280
358,khudaganj,28.15,79.7167,22.34,27,75,2.48,IN,1711485280
359,dinguiraye,11.3,-10.7167,31.94,22,53,1.52,GN,1711485280
360,lycksele,64.5954,18.6735,-4.07,68,40,3.6,SE,1711485280
361,murzuq,25.9155,13.9184,26.35,11,79,4.0,LY,1711485083
362,patterson,37.4716,-121.1297,17.84,58,10,1.75,US,1711485014
